OBJECTID,Man_Made_Object,Notes,GlobalID,EditDate,Shape__Length
164,Road,Main park road,bde15336-d604-4df2-ac33-f11287212b7e,2019-04-25T15:50:58.832Z,1865.56716985078
165,Road,Lodge road,4d8c0ba5-7fb6-4e18-9024-ad73b67bc34e,2019-04-25T15:50:58.973Z,1290.77217359391
166,Road,Loop to center lot,2cc8ef4d-c38d-496c-ba67-b6d5f48e774f,2019-04-25T15:50:59.115Z,348.14469083559
167,Trail Paved,,5f8e6bce-525b-474c-b527-166cb69db6b4,2019-04-25T15:50:59.302Z,73.5458689430097
168,Road,,779bd271-992a-40b3-b375-01106e135cdb,2019-04-25T15:50:59.460Z,82.8472594526853
169,Trail Paved,Sidewalk from lodge to Sandy Point,c40178d0-e609-47b5-80c3-0d766a52c279,2019-04-25T15:50:59.630Z,281.106918861383
170,Trail Mulch/Stone,,4a233886-98b1-4507-b7ff-15dfff2156fb,2019-04-25T15:50:59.771Z,119.317393248404
171,Trail Paved,,3689a955-84ac-4295-96df-f962d3aafd32,2019-04-25T15:50:59.913Z,48.6943926920575
172,Trail Paved,Center parking to garden loop,2cc098db-f1fb-4ea6-b4c6-acc865c31fa8,2019-04-25T15:51:00.038Z,539.915435595262
173,Trail Singletrack,FLT (white),2ecc52b9-5ef5-4afe-8a2d-b6de12e3d5e8,2019-04-25T15:51:00.380Z,16661.5304076009
174,,PG lot to FLT connector (red),0a7ee57b-8d7d-4cc1-bb01-1f58fe4ed217,2019-04-25T15:51:00.568Z,148.056078237195
175,Trail Singletrack,Connector (red),6a925426-3028-4ccf-84f6-acc6043e305c,2019-04-25T15:51:00.789Z,475.328067924688
176,Trail Singletrack,Connector to sparkleberry (red),0e3a29dd-4dea-49b0-9663-8ed08c6b96c8,2019-04-25T15:51:00.990Z,384.327595834325
177,Trail Paved,,27ddb527-1872-4f23-a7d4-1585c73edc84,2019-04-25T15:51:01.193Z,3037.10496736909
178,Trail Mulch/Stone,,6d7ea314-73eb-4048-9f12-7f48d1e7cb52,2019-04-25T15:51:01.522Z,85.1831999905089
179,Bridge/Boardwalk,,1b31faa9-5f47-44cd-8d2a-518c90db1a77,2019-04-25T15:51:01.693Z,28.6978478096236
180,Trail Mulch/Stone,,d5620866-c2f9-4c94-b70e-fc0aa8c2a7cc,2019-04-25T15:51:01.834Z,102.760543156333
181,Trail Paved,To Robin shelter,8250591b-94a8-4234-a6ad-498ac744591d,2019-04-25T15:51:02.101Z,137.192283995111
182,Trail Paved,,7e866b4f-c14e-42f3-9bc7-c34c3b940476,2019-04-25T15:51:02.474Z,24.6113739348429
183,Bridge/Boardwalk,,c4af2653-4fab-478a-84f4-dfb2fe4d0614,2019-04-25T15:51:02.693Z,194.62008556248
184,Trail Paved,Fork from paved trail to parking lot,2596b9ed-0dcb-4096-aa69-09f41b225788,2019-04-25T15:51:02.865Z,263.72382800598
185,Trail Paved,,7fd90a9f-482b-4169-8741-87804f597b61,2019-04-25T15:51:03.021Z,729.052725082391
186,Trail Paved,,3247ed0c-a702-498e-aa4a-c7bc046ea472,2019-04-25T15:51:03.193Z,1262.80602012008
187,Road,Park Rd.,5649f1e2-dc3b-4a47-b750-efa22150b025,2019-04-25T15:51:03.318Z,2098.0445621048
188,Road,,79d20591-d6d9-4af2-88d5-92a259d9baba,2019-04-25T15:51:03.458Z,591.086665416771
189,Trail Paved,,3b7dfa34-990d-41b0-8994-24a6b19b3470,2019-04-25T15:51:03.583Z,4649.94715720971
190,Trail Paved,,516648f6-7eab-42f8-a396-04ea6e2ee9e2,2019-04-25T15:51:03.864Z,211.824578638808
191,Trail Mulch/Stone,,1c5baa29-9c95-45de-8842-a55836193aff,2019-04-25T15:51:04.104Z,298.301680516648
192,Trail Mulch/Stone,Top of the hill trail,4f6381b8-5125-42d9-8ea0-24180f459d1c,2019-04-25T15:51:04.349Z,2149.88940671486
193,Road,Green Hills Loop,2f3416e7-20c4-4074-84ac-929c3ab8bd0d,2019-04-25T15:51:04.490Z,7349.92861453448
194,Trail Paved,Greenway connector at school gate,0d9ba569-95a0-4f2c-a297-14b79a29a584,2019-04-25T15:51:04.646Z,343.773756414216
195,Trail Paved,Greenway connector (gate 1),2070740b-2f8c-4148-b2eb-70743f8d240a,2019-04-25T15:51:04.818Z,165.40587071364
196,Trail Paved,Greenway connector (gate 4),ea78c49d-2e64-4efc-8b6e-ff7591f47933,2019-04-25T15:51:04.959Z,85.8623880428179
197,Trail Paved,,4160f209-6a84-48bf-94dc-b0b779193e42,2019-04-25T15:51:05.068Z,822.103287959617
198,Trail Paved,,a6e54e95-ba97-41b0-9cdd-344d2ba1ee6e,2019-04-25T15:51:05.211Z,245.982922011318
199,Trail Paved,,026cfebd-743b-48b9-999c-598f4fb86e6d,2019-04-25T15:51:05.318Z,307.032366510381
200,Trail Paved,,12205074-4a6f-4876-8011-a22e8f41d627,2019-04-25T15:51:05.505Z,194.983407675359
201,Trail Paved,,40009789-7111-4d9a-a23a-2c6d72fb6b96,2019-04-25T15:51:05.677Z,323.883450077835
202,Trail Paved,,09860aa6-3015-491c-a26e-d32f7e04f807,2019-04-25T15:51:05.849Z,21.6369144092036
203,Trail Paved,,dcf3e649-fbfe-44aa-821b-2b4676b792b9,2019-04-25T15:51:05.990Z,139.458958063699
204,Trail Paved,,9024d5eb-e0a1-47b2-bf40-e6a91ba54ff0,2019-04-25T15:51:06.130Z,114.710931389256
205,Trail Paved,Abbott creek greenway (City of Raleigh),d2bdd274-3295-47cb-b9bd-8811668a408a,2019-04-25T15:51:06.287Z,2778.17330908432
206,Trail Mulch/Stone,Go Ape,250f352e-50fe-4429-8bc3-5b791f89a648,2019-04-25T15:51:06.443Z,101.173304305492
207,,Go Ape trail,3330f43c-fbde-41ef-a4f2-85da8234c52b,2019-04-25T15:51:06.583Z,160.515027252249
208,,Go Ape trail,bc1febdf-7460-42dd-aaef-e555baef9e06,2019-04-25T15:51:06.710Z,1143.34423227789
209,,Go ape Zip 3-4 ,34f484cc-4944-4778-bad1-6a880c75db8b,2019-04-25T15:51:07.115Z,224.305622454032
210,,MST connector,b51fb01a-4c6c-4ccd-a405-1911b72e6d79,2019-04-25T15:51:07.365Z,115.207928209704
211,,Go Ape trail,6c537ec5-c3d4-400e-ba51-6dd90c55fea8,2019-04-25T15:51:07.555Z,57.6616061536834
212,,Go Ape zip,baa9ceae-532d-45c6-831d-b980ddeec9b5,2019-04-25T15:51:07.677Z,312.54695054682
213,,Go Ape - trail -Tree top jr,59a5502a-80f4-49d7-bd77-03b2884dc873,2019-04-25T15:51:07.851Z,263.931519650232
214,,Go Ape trail,d46887c7-4d50-43f7-8d2c-9d6f8502008a,2019-04-25T15:51:08.208Z,20.2737643132498
215,,Go Ape Zip,85ea0109-cef2-404e-8456-24de1a733396,2019-04-25T15:51:08.380Z,455.544437400479
216,,Go Ape trail to parking lot,d5db8996-215d-43a1-afad-48735aab387e,2019-04-25T15:51:08.537Z,93.7082625975322
217,,Go Ape zip 4-5,0f6e05ec-dd26-4d86-b8f7-6bf8d8ab5880,2019-04-25T15:51:08.677Z,269.211542952704
218,,Go Ape trail,8a7a10fb-cb37-474f-8cdb-6ddd19ce2443,2019-04-25T15:51:08.802Z,616.453410851703
219,,Go Ape Zip,3ce34a2d-fc74-4547-aae5-8a143ba00fd8,2019-04-25T15:51:08.958Z,154.08298409345
220,,Go Ape trail,5e21ac60-bfe8-4638-ae84-e0a51c43cc20,2019-04-25T15:51:09.115Z,219.064028154638
221,Trail Paved,Concrete walkway from lot to Cardinal shelter,4dfa290c-5d62-488d-9bf5-122d7b517e5b,2019-04-25T15:51:09.255Z,197.459718351553
222,Trail Paved,Concrete walkway from Cardinal shelter,f0b38583-af87-4c11-aa44-f8544c9ed7b2,2019-04-25T15:51:09.381Z,411.048626034076
223,Trail Paved,From parking lot to restroom and platground,eee74448-fad2-4d90-9854-16089dc7418b,2019-04-25T15:51:09.587Z,112.685703359594
224,Trail Paved,From parking lot to playhround,40b85c08-2669-44b0-8fe8-1878759ae688,2019-04-25T15:51:09.787Z,110.410866893803
225,Trail Paved,Concrete walkway from paved trail to lot,22f0b79c-a0a5-49b3-8ad8-46bed2708de0,2019-04-25T15:51:09.896Z,368.072419394156
226,Trail Paved,"Concrete, from lot to paved trail",82405ae4-e2ed-4c0d-b9f1-898797496bfe,2019-04-25T15:51:10.009Z,42.485783085431
227,Trail Mulch/Stone,From lot to blue bird picnic area,df3a035a-1d22-4ab1-92e6-272132d1a4c4,2019-04-25T15:51:10.150Z,68.4141752810359
228,Trail Paved,"Concrete, to water fountain from lot",21241c96-39ab-4723-b02a-18ec350a9345,2019-04-25T15:51:10.365Z,20.7602334286628
229,Trail Paved,Concrete path to shelter,0880c258-6987-4819-821a-d7a216a226fc,2019-04-25T15:51:10.568Z,77.4557670469114
230,Trail Paved,Concrete from lot to restrooms&playground,7245763e-0fed-4fa4-8835-3e295d7ec778,2019-04-25T15:51:10.724Z,348.72316874512
231,Trail Paved,Concrete path to paved trail,d74c7999-05d4-4e05-8db1-b75762b87b8a,2019-04-25T15:51:10.865Z,16.4775705226247
232,Trail Paved,Concrete path along parking lot,374a3b89-db4d-4d42-803a-06f438b28d87,2019-04-25T15:51:11.007Z,22.2262088232562
233,Trail Paved,Concrete path along parking lot,d71dd028-e67c-45c8-b673-f971c78d061e,2019-04-25T15:51:11.131Z,269.921286169528
234,Trail Paved,Concrete to restrooms and paved trail,d6012224-2fee-41e1-899a-c957d4e0f75a,2019-04-25T15:51:11.256Z,178.345607466528
235,Trail Paved,Concrete path,dfdafa44-6106-4b49-a163-05e2381b6c33,2019-04-25T15:51:11.412Z,50.0136252840391
236,Trail Paved,Concrete path,f852de35-a494-4e11-ab30-b3aa3a5244e7,2019-04-25T15:51:11.615Z,22.3781197180258
237,Trail Mulch/Stone,Cooper's hawk trail,5fe02632-4034-4e79-a093-3c193928f6c6,2019-04-25T15:51:11.756Z,326.282244442104
238,Bridge/Boardwalk,,8781bbd5-2535-49ca-a28c-1d3ef07e3574,2019-04-25T15:51:11.896Z,42.193041579469
239,Trail Mulch/Stone,Cooper's hawk trail,925f585a-b036-4fd9-ae27-1568ef1ce9a0,2019-04-25T15:51:12.053Z,591.505195324758
240,Trail Mulch/Stone,Offshoot to Amphitheatre from Coopers hawk Trail,4c977086-9b4b-4fef-98ad-3c2232dd5dd2,2019-04-25T15:51:12.459Z,31.4168637467471
241,Trail Paved,Concrete Walkway from PArking Lot to office building,73a8a89a-00f9-4b6b-9b16-a5ae08fc41a2,2019-04-25T15:51:12.584Z,178.483458259472
242,Trail Paved,Concrete Path to restrooms,f2457499-4db7-486e-8784-99e9c6cd5475,2019-04-25T15:51:12.725Z,126.302049685209
243,Bridge/Boardwalk,Back Porch Boardwalk to Observation dock,9df7cfe0-0daf-4176-a92a-abc0632af9f7,2019-04-25T15:51:12.819Z,336.876285386091
244,Trail Paved,,67168495-bf95-42c5-8bb9-06692f1965f4,2019-05-20T20:21:18.767Z,70.7784367163465
245,Trail Paved,,33c7fa06-736e-45c9-99ab-6adfb810fcfc,2019-05-20T20:16:30.070Z,67.1585051342292
246,Trail Mulch/Stone,Boulder Trail (gravel),28c753af-0425-433f-92c5-c2de63114de1,2019-05-20T13:52:36.252Z,2898.52754500838
247,Bridge/Boardwalk,,abae1cf3-eca4-4930-92db-4b40711746e3,2019-05-20T13:54:23.101Z,305.847244899666
248,Bridge/Boardwalk,,cfb24647-77b9-4538-a29c-e1661988a431,2019-05-20T13:58:54.445Z,9.0339881058453
249,Trail Mulch/Stone,,f7774639-f8b7-4854-ba6d-aa5fe0453566,2019-05-20T13:59:54.903Z,67.7985544282993
250,Trail Social,,765a1bec-b093-4272-aed9-fbf697380543,2019-05-20T14:03:42.538Z,330.607068998432
251,Trail Social,,a7e52b2f-08f8-41ff-b421-b8d5f460d959,2019-05-20T14:05:08.683Z,45.1622855766942
252,Bridge/Boardwalk,,0eadcc64-c10a-4e7c-b0e1-85ee8a00aa68,2019-05-20T14:10:18.815Z,41.3699515110488
253,Trail Mulch/Stone,Lupine Loop,833c9f1f-ceef-41b3-a912-79c76e189afa,2019-05-20T14:27:42.428Z,2328.24857439442
254,Bridge/Boardwalk,,36e01670-5fcc-4f71-a108-f55228493542,2019-05-20T14:28:17.368Z,14.8075987781713
255,Trail Mulch/Stone,,a4525250-8f2f-4c13-b3a1-982cdbadd173,2019-05-20T14:46:12.606Z,354.86634154936
256,Road,,8f346358-88c4-4e51-b605-0dd957477b5b,2019-05-20T15:00:46.253Z,315.144797817219
257,Road,,189d2fca-4c25-48b7-a93c-e2d45358b9f5,2019-05-20T15:08:13.095Z,4711.84131097204
258,Other,Crosswalk ,26c7eb13-e865-4fc5-ac1a-01bb54c1552c,2019-05-20T15:13:41.023Z,34.4346130924898
259,Trail Mulch/Stone,Meadow,9db9451b-f8dd-4d47-8205-6f223a81909d,2019-05-20T19:03:09.664Z,3268.5543094961
