OBJECTID,NAME,ACRES,OWNER,JURISDICTION,TYPE,MANAGER,COMMENTS,BLDGCODE,CORRIDOR,OS_NUMBER,SHAPEAREA,SHAPELEN,CREATED_DATE,LAST_EDITED_DATE
560488,Underwood Elementary,4.40007722,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,191667.363833284,2152.2467324849,,
560489,Green Hope Elementary,17.05248029,WAKE COUNTY BOARD OF EDUCATION,CARY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,742359.765539947,4192.25323087745,,
560490, ,1.0425436,TOWN OF CARY,CARY,GREENWAY, , , ,,,45413.1990512744,1143.51856152113,,
560491,Roanoke Neighbrohood Park,1.6163729,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,70409.2033264616,2131.79365819493,,
560492,Morrisville Community Park,40.59882072,TOWN OF MORRISVILLE,MORRISVILLE,PARK, , , ,,,1768749.75474463,8445.73358344356,,
560493,Ligon Middle School,17.00228064,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,,,,,,744972.43573457,4756.66749785465,,
560494,,0.62861834,CTIY OF RALEIGH,RALEIGH,GREENWAY,,EASEMENT,,WALNUT CREEK,,27382.6150180625,1268.22650413878,,
560495,,0.99923533,CTIY OF RALEIGH,RALEIGH,GREENWAY,,EASEMENT,,,,43526.6911374609,1918.18104984433,,
560496,Upper Walnut Creek Greenway,0.65629064,CITY OF RALEIGH,RALEIGH,GREENWAY,,EASEMENT,,WALNUT CREEK,,28588.0202281957,1604.29053619148,,
560497,Rock Spring Park,4.52706641,WAKE COUNTY,WAKE FOREST,PARK,WAKE COUNTY BOARD OF EDUCATION, ,767,,,197209.973751066,1842.33868261,,
560498,Wake Forest-Rolesville High,42.9794017,WAKE COUNTY BOARD OF EDUCATION,WAKE FOREST,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,767,,,1872182.52936671,5792.37126150419,,
560499,H L Miller Park,4.58508831,TOWN OF WAKE FOREST,WAKE FOREST,PARK,,,,,,199721.866086797,1765.974841856,,
560500,Southgate Park,8.82755725,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,384529.22749249,4578.3544640423,,
560501,FEMA HMGP Phase 3-1,1.00697675,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,BIG BRANCH,,43346.0773601916,829.788712637234,,
560502,FEMA HMGP Phase 1-2,1.06572839,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,46423.1286588981,844.586214517261,,
560503,Spring Forest Road Park,21.80941113,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,949792.541838327,4310.32777907385,,
560504,East Millbrook Middle School,48.74188737,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,772,,,2123196.66630134,6861.15200918438,,
560505,Arlington Hills Greenway,2.58808541,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,112737.000786898,2787.65201920408,,
560506, ,0.5495368,WAKE COUNTY,RALEIGH,MITIGATION, , , ,,,23937.8230166391,659.584114793732,,
560507, ,16.03457555,WAKE COUNTY,RALEIGH,GREENWAY, , , ,TURKEY CREEK,,703199.460495009,5676.79714729222,,
560508,Green Elementary,14.66353893,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,638743.755662308,3505.1091266775,,
560509,Brookhaven Nature Park,25.91679282,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,1128935.49513725,4887.61014648024,,
560510, ,6.52602806,CITY OF RALEIGH,RALEIGH,MITIGATION, , , ,MARSH CREEK,,276810.09866332,2077.64057024858,,
560511,York Elementary,14.73590625,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,641896.076456217,3228.90115097464,,
560512, ,16.09515501,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,700053.363635173,7738.56796016337,,
