OBJECTID,NAME,ACRES,OWNER,JURISDICTION,TYPE,MANAGER,COMMENTS,BLDGCODE,CORRIDOR,OS_NUMBER,SHAPEAREA,SHAPELEN,CREATED_DATE,LAST_EDITED_DATE
560692,Smith Elementary,16.88228328,WAKE COUNTY BOARD OF EDUCATION,GARNER,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,735392.259741654,3490.86777576134,,
560693,Garner Recreational Park,20.3284738,TOWN OF GARNER,GARNER,PARK, , , ,,,928777.363963999,6214.40530262228,,
560694,Timber Drive Elementary,38.01275679,WAKE COUNTY BOARD OF EDUCATION,GARNER,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,1656019.6008784,5984.26433541633,,
560695,Aversboro Elementary,19.02865279,WAKE COUNTY BOARD OF EDUCATION,GARNER,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,828888.115605171,3749.93093596004,,
560696, ,1.69374072,TOWN OF GARNER,GARNER,OPEN SPACE, , , ,,,73779.3457694268,1690.39670962256,,
560697,,7.41981948,OAKS AT BRIER CREEK LLC,RALEIGH,GREENWAY,,EASEMENT,,BRIER CREEK,,323207.336570264,6351.01990002001,,
560698,,5.44089289,CITY OF RALEIGH,RALEIGH,GREENWAY,,EASEMENT,,,,237005.294444747,5215.58960185298,,
560699,Meredith College,4.16866131,CITY OF RALEIGH,RALEIGH,GREENWAY,,EASEMENT,,,,181568.5906364,11038.1007206553,,
560700,Meredith College,3.572924,CITY OF RALEIGH,RALEIGH,GREENWAY,,EASEMENT,,,,155634.145053025,4651.06275754968,,
560701,,3.4396164,CITY OF RALEIGH,RALEIGH,GREENWAY,,EASEMENT,,WALNUT CREEK,,149829.690341485,3447.74922479344,,
560702,Richland Creek Greenway,4.00837386,CITY OF RALEIGH,RALEIGH,GREENWAY,,EASEMENT,,RICHLAND CREEK,,174604.76523083,3251.56376491794,,
560703,Pepsico Property,10.00491782,PEPSI BOTTLING VENTURES LLC,RALEIGH,GREENWAY,,EASEMENT,,,,532291.961262024,5408.7208153011,,
560704,Crabtree Valley Trail,30.14283314,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,CRABTREE CREEK,,1151925.21679901,9823.47000599164,,
560705,Cameron Park,3.39723095,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,147983.380208808,3236.25734888595,,
560706,Enloe High School,49.21878252,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,755,,,2143970.16672655,6998.44450562635,,
560707,Lowery Walnut Creek Trail,11.36029582,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,WALNUT CREEK,,494854.485752717,7978.89576299959,,
560708,,0.40583787,TOWN OF CARY,CARY,OPEN SPACE,,,,,,17678.2975994723,987.773409590943,,
560709,Crabtree Village Greenway,2.11911578,TOWN OF APEX,APEX,GREENWAY, , , ,,,92322.5793645751,1538.68719737842,,
560710,Tarbert Gatehouse Trail,2.65566151,TOWN OF CARY,CARY,GREENWAY, , , ,,,115680.615286954,2107.53446095039,,
560711,White Oak Park,11.83449272,TOWN OF CARY,CARY,PARK,,,,WHITE OAK CREEK,,515510.502721434,3432.71534515684,,
560712,Powell Drive Park,8.64220679,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,376454.527738543,2512.58149880698,,
560713,Hodge Road Elementary,19.98930724,WAKE COUNTY,KNIGHTDALE,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,870734.223221966,3984.21759018322,,
560714,Spring Park,0.36644491,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,15962.3400791525,495.922743749139,,
560715,Davis Drive Park,15.71353199,TOWN OF CARY,CARY,PARK, , , ,WHITE OAK CREEK,,684481.453408265,4475.97133387813,,
560716,Lions Park,6.14754209,TOWN OF CARY,CARY,PARK, , , ,,,267786.933567027,2972.49105105024,,
560717,Turner Creek Elementary,19.06266824,WAKE COUNTY,WAKE COUNTY,SCHOOL, , , ,,,830369.828626008,4094.44542668603,,
560718,Cary High School,38.9622125,WAKE COUNTY BOARD OF EDUCATION,CARY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,783,,,1697193.9766472,5255.53397125951,,
560719,Wake Office Park,45.26531357,WAKE COUNTY,RALEIGH,OPEN SPACE, , ,775,,,1971749.95314306,7150.6164748081,,
560720,Dutchmans Creek Mitigation Site,90.39481043,NC DEPARTMENT OF TRANSPORTATION,WAKE COUNTY,MITIGATION,DOT, , ,DUTCHMANS BRANCH,,3952545.45530833,11085.0594767367,,
560721,Stough Elementary,14.00773425,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,610195.4048997,3122.47333893979,,
560722,Zebulon Middle School,22.09429786,WAKE COUNTY BOARD OF EDUCATION,ZEBULON,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,769,,,962427.614645443,4521.47534245482,,
560723,Beckana,1.00827532,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,43920.4728204359,918.35902909874,,
560724,Laurel Hills Park,48.18496658,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,2098937.1440415,6272.62969431323,,
560725,Crabtree Creek Watershed Project,36.38863591,WAKE COUNTY,RALEIGH,MITIGATION, , ,608,RICHLAND CREEK,,1585088.98020576,13113.9725837523,,
560726,Varnell Park,0.4421838,STATE OF NORTH CAROLINA,RALEIGH,PARK,,,,,,19261.5264616085,620.521075825092,,
560727,White Oak & Anderson,0.12865932,RIGHT OF WAY,RALEIGH,OPEN SPACE,,,,,,5604.39976717757,305.558819679583,,
560728,,2.94029738,TOWN OF GARNER,GARNER,GREENWAY,,,,,,128079.353972669,2575.96686906237,,
560729,Kingswood Elementary,6.95324911,WAKE COUNTY BOARD OF EDUCATION,CARY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,302883.531081939,3306.33359483743,,
560730,Fred Fletcher Park,22.64582628,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,986452.192730065,4483.46546125017,,
560731,Mingo Creek Greenway,16.56913149,TOWN OF KNIGHTDALE,KNIGHTDALE,GREENWAY,,,,MINGO CREEK,,721751.367617965,5290.68611577876,,
560732,Mingo Creek Greenway,2.08308931,"FAISON, O WILLIAM ET AL",KNIGHTDALE,GREENWAY,,,,MINGO CREEK,,90739.3702283817,6260.6581643221,,
560733,,0.03730965,TOWN OF WAKE FOREST,WAKE FOREST,OPEN SPACE,,,,,,1625.20826643685,254.228855564841,,
560734,Mordecai Square,2.70238655,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,117715.958173643,1412.19958953112,,
560735,Neuse River Greenway,98.13557402,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,NEUSE RIVER,,3955196.46958757,11135.9125723341,,
560736,Weatherstone Elementary,19.93835795,WAKE COUNTY BOARD OF EDUCATION,CARY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,868514.872360087,4656.87592601379,,
560737,Carver Elementary,19.60719148,WAKE COUNTY BOARD OF EDUCATION,WENDELL,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,083,,,854089.235931803,4126.97865225505,,
560738,Mordecai Annex,1.05231682,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,45838.9205187835,869.97202889699,,
560739,Isabella Cannon Park,3.52811674,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,153662.633775791,2179.4030013949,,
560740,Broughton High School,26.24078348,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,781,,,1143048.52835417,5783.42930395916,,
560741,Rose Garden Park,6.80476739,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,296415.667584411,2429.69204615155,,
560742,Olive Chapel Elementary,17.69012869,WAKE COUNTY BOARD OF EDUCATION,APEX,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,770582.005667153,3534.88588431982,,
560743,Kelly Road Park,27.00448181,TOWN OF APEX,APEX,PARK, , , ,BEAVER CREEK,,1146418.32412633,4855.11904780771,,
560744,Barwell Road Park,57.12322004,CITY OF RALEIGH,RALEIGH,PARK, , ,098,,,2488287.46509998,9741.32299084216,,
560745,Jones Park,6.28289693,TOWN OF APEX,APEX,PARK, , , ,,,273682.990159793,2202.68807735932,,
560746,Jaycee Park,22.86079298,TOWN OF APEX,APEX,PARK, , , ,,,995808.576182261,5835.95382444718,,
560747,Gill Street Park,1.42248645,TOWN OF ZEBULON,ZEBULON,PARK, , , ,,,61963.5095701494,998.634715808948,,
560748,East Wake Middle School,26.43170753,WAKE COUNTY BOARD OF EDUCATION,WAKE COUNTY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,754,,,1153608.25296641,4810.83119867985,,
560749,Alvis Farm,72.93399336,CITY OF RALEIGH,RALEIGH,PARK, , , ,NEUSE RIVER,,3196938.24309071,11985.6057026674,,
560750, ,3.21266648,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,CRABTREE CREEK,,139943.751699231,2524.11819703423,,
560751, ,11.10814703,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,MARSH CREEK,,483870.884625674,4262.33255265022,,
560752,Brentwood Trail,8.11646123,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,MARSH CREEK,,353552.130227605,3846.68296558375,,
560753,Root Elementary,7.81949533,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,340593.959867991,2430.53773459047,,
560754,Little River Park,23.08732235,TOWN OF ZEBULON,ZEBULON,PARK, , , ,,,988135.655197934,5247.99985254694,,
560755,Cedar Fork District Park,37.78918072,TOWN OF MORRISVILLE,MORRISVILLE,PARK, , ,124,CRABTREE CREEK,,1552912.65484295,9604.81843886827,,
560756, ,0.0392094,TOWN OF MORRISVILLE,MORRISVILLE,GREENWAY, , , ,,,1707.9615357284,237.439082583336,,
560757,Marsh Creek Park,108.61448323,CITY OF RALEIGH,RALEIGH,PARK, , , ,ROCKY CREEK,,4731246.88946975,12439.8403874604,,
560758,Black Creek Greenway,16.21835497,TOWN OF CARY,CARY,GREENWAY, , , ,,,706112.027949747,6652.36503215221,,
560759, ,1.64998136,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,BIG BRANCH,,71873.1882328725,2740.76781560632,,
560760,Zebulon Community Park,47.59935975,TOWN OF ZEBULON,ZEBULON,PARK, , , ,,,2073436.55082663,7988.39531995534,,
560761,Morrisville Elementary,24.6408767,WAKE COUNTY,MORRISVILLE,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,762,,,1073356.58912866,4200.87910532866,,
560762,NCSU Agriculture Research Land,71.16264093,NORTH CAROLINA STATE UNIVERSITY,CARY,RESEARCH,NCSU, , ,,,3099844.63895586,8650.19175771712,,
560763,Highcroft Drive Elementary,22.42556806,TOWN OF CARY,CARY,SCHOOL, , , ,,,976857.744605707,4158.21242208347,,
560764,Jaycee Park,24.85006297,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,1082468.74311201,4844.07644282678,,
560765,N Smith Creek Greenway,4.00740531,TOWN OF WAKE FOREST,WAKE FOREST,GREENWAY,,,,,,174559.804939668,2822.27247571177,,
560766,Clairmont Park,1.35565203,TOWN OF APEX,APEX,PARK,,,,,,59052.2026269321,1094.39777655607,,
560767,Washington Elementary,17.31985924,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,,,,,,754453.068609281,3865.19943092548,,
560768,,5.59064713,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,243528.588865405,2303.07086001196,,
560769,,0.38024333,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,16563.3993557122,518.782654070374,,
560770,J B Flaherty Park,111.49897211,TOWN OF WAKE FOREST,WAKE FOREST,PARK,,,,,,4856895.22500228,10825.1193507705,,
560771,Longview Gardens Elementary,6.95115845,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,302792.46215603,2819.79896007251,,
560772,Mingo Creek Greenway,30.6135661,TOWN OF KNIGHTDALE,KNIGHTDALE,GREENWAY, , , ,MINGO CREEK,,1333526.93926338,6690.48764749226,,
560773,Knightdale Elementary,7.87207569,WAKE COUNTY BOARD OF EDUCATION,KNIGHTDALE,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,129,,,342907.617127565,2559.650323082,,
560774,OS-030,78.844291,TOWN OF WENDELL,WENDELL,OPEN SPACE, ,PARTNERSHIP,950,BUFFALO CREEK,OS-030,3434457.31574711,9218.34406841639,,2019-06-27T15:17:36.000Z
560775,Wiley Elementary,6.44580211,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,280779.139850189,2446.23667478194,,
560776, ,0.09611169,CITY OF RALEIGH,RALEIGH,, , , ,,,4186.62543058476,281.61430869877,,2019-06-27T15:17:45.000Z
560777,,4.84240771,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,210935.279925274,1865.49986087073,,
560778,Fischer Mini Park,0.27357657,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,11916.995442947,458.527747380231,,
560779,Lee Street Park,0.28928236,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,26945.8329913162,670.002882110872,,
560780,Carnage Middle School,17.33393271,WAKE COUNTY BOARD OF EDUCATION,RALEIGH,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,750,,,755066.108778899,3532.49245075889,,
560781, ,3.58927588,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,,,156348.85716696,2138.7759720984,,
560782,Neuse River Greenway,11.22955568,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,NEUSE RIVER,,489159.445244985,3202.48851470821,,
560783,Walnut Creek Greenway Corridor,96.05657228,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,WALNUT CREEK,,3294563.64478962,13639.5370011959,,
560784,Rocky Branch Trail,10.32927682,CITY OF RALEIGH,RALEIGH,GREENWAY, , , ,ROCKY BRANCH,,449943.298234428,6637.40048508442,,
560785,Anderson Point Park,76.96525628,CITY OF RALEIGH,RALEIGH,PARK, , , ,NEUSE RIVER,,3356943.51863763,8122.19925225301,,
560786, ,5.73703134,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,249905.085297638,2210.6395892983,,
560787,Rose Street Park,0.63384371,TOWN OF CARY,CARY,PARK, , , ,,,27610.2319150681,946.250823402137,,
560788,Eliza Pool Neighborhood Park,5.89386303,CITY OF RALEIGH,RALEIGH,PARK,,,,,,256736.673396877,2733.73371267933,,
560789, ,3.47164975,CITY OF RALEIGH,RALEIGH,OPEN SPACE, , , ,,,151074.76104792,2949.23725413932,,
560790,Lenoir Street Park,0.31546718,CITY OF RALEIGH,RALEIGH,PARK,,,,,,13741.7504050751,482.645683709081,,
560791,Hunt Community Center,10.15728072,TOWN OF HOLLY SPRINGS,HOLLY SPRINGS,PARK,,,,,,442449.636539363,3270.57953057377,,
560792,Long Acres,3.0109129,CITY OF RALEIGH,RALEIGH,PARK, , , ,,,131155.365817985,1902.25079760555,,
560793,Lake Johnson Metro Park,469.14206955,CITY OF RALEIGH,RALEIGH,PARK, ,PARTNERSHIP,,WALNUT CREEK,,20456103.1891399,30104.9973946928,,
560794,Historic Oakview,27.77587922,WAKE COUNTY,RALEIGH,PARK, , ,903,,,1209917.29866729,5193.04097081558,,
560795,Bass Lake Retreat Center,89.32569144,TOWN OF HOLLY SPRINGS,HOLLY SPRINGS,PARK, ,, ,,,3890437.49796007,14584.677508797,,
560796,Harris Lake County Park,592.72931082,WAKE COUNTY,WAKE COUNTY,PARK, , ,038,WHITE OAK CREEK,,25819288.7792599,39021.6670366427,,
560797,Underhill Mitigation Site,140.88545891,NC DEPARTMENT OF TRANSPORTATION,WAKE COUNTY,MITIGATION,DOT, , ,SWIFT CREEK,,7106219.91062936,16287.0548055047,,
560798,Terrible Creek Trail,25.71256926,FUQUAY VARINA AMERICAN LEGION,FUQUAY-VARINA,GREENWAY,FUQUAY VARINA AMERICAN LEGION, , ,TERRIBLE CREEK,,1120039.51712439,4877.85894195922,,
560799,Fuquay-Varina Elementary,8.35626458,WAKE COUNTY BOARD OF EDUCATION,FUQUAY-VARINA,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,128,,,363998.885007817,2833.41736450832,,
560800,Fuquay-Varina High School,47.61331924,WAKE COUNTY BOARD OF EDUCATION,FUQUAY-VARINA,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,788,,,2074036.18609245,7025.13068422247,,
560801,Willow Springs School Park,23.08669691,WAKE COUNTY,WAKE COUNTY,PARK,WAKE COUNTY BOARD OF EDUCATION, ,137,,,1005656.51721136,5854.21953248162,,
560802,Action Park,16.90764626,TOWN OF FUQUAY-VARINA,FUQUAY-VARINA,PARK, , , ,,,736219.269378121,5924.66691780051,,
560803,Lincoln Heights Elementary,9.82499404,WAKE COUNTY BOARD OF EDUCATION,FUQUAY-VARINA,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,427976.740207581,2688.76905777577,,
560804,Fuquay-Varina Middle School,11.79782722,WAKE COUNTY BOARD OF EDUCATION,FUQUAY-VARINA,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,513913.353800142,3172.87522842728,,
560805,Falcon Park,4.88466014,TOWN OF FUQUAY-VARINA,FUQUAY-VARINA,PARK, , , ,,,212775.795495237,3274.41971346891,,
560806,,2.27359117,TOWN OF CARY,CARY,OPEN SPACE,,,,,,99037.6312853509,1690.75926791064,,
560807,Alvis Farm,41.18550514,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,NEUSE RIVER,,1821343.6980167,6317.84326147661,,
560808,Knightdale Swim Club,18.10452241,TOWN OF KNIGHTDALE,KNIGHTDALE,PARK,,,,NEUSE RIVER,,791074.549135291,4223.14896657552,,
560809,East Wake High School,70.07692701,WAKE COUNTY BOARD OF EDUCATION,WAKE COUNTY,SCHOOL,WAKE COUNTY,,753,,,3052550.94044752,8285.8482664935,,
560810,OS-057,83.14960754,WAKE COUNTY,WAKE COUNTY,GREENWAY,,FEE SIMPLE,952,LITTLE RIVER,OS-057,3621996.90432659,9666.40812268758,,
560811,OS-019,1.47575546,WAKE COUNTY,WAKE COUNTY,GREENWAY,,EASEMENT ,,LITTLE RIVER,OS-019,64283.9076559296,1053.18858611962,,
560812,OS-043,76.95811508,WAKE COUNTY,GARNER,OPEN SPACE,,EASEMENT,958,STEEP HILL CREEK,OS-043,3352295.49290717,10996.9103904339,,
560813,,2.02895114,CITY OF RALEIGH,RALEIGH,GREENWAY,,,,,,88381.1115952992,2167.37627363011,,
560814,,0.12046578,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,5247.48952929191,364.484102571535,,
560815,,0.15865939,RIGHT OF WAY,RALEIGH,OPEN SPACE,,,,,,6911.20306732586,337.353672335154,,
560816,,1.61108601,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,,,,,,70178.918011149,1169.37770804737,,
560817,FEMA HMGP Phase 1-7,0.78549117,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,34215.9955031803,757.866299977155,,
560818,Thompson Road Park,12.37738865,TOWN OF GARNER,GARNER,PARK, , , ,,,539426.782866272,3635.96882560833,,
560819, ,3.43505504,TOWN OF HOLLY SPRINGS,HOLLY SPRINGS,GREENWAY, , , ,MIDDLE CREEK,,149630.997712127,1731.72627997054,,
560820,Lake Benson Park,63.92039925,TOWN OF GARNER,GARNER,PARK, , , ,SWIFT CREEK,,2784372.59135252,7550.25591238418,,
560821,,8.77893278,STATE OF NORTH CAROLINA,RALEIGH,OPEN SPACE,,,,,,382410.312055178,3815.64167234956,,
560822, ,37.45419541,CITY OF RALEIGH,GARNER,MITIGATION, , , ,SWIFT CREEK,,1631504.75201821,8257.67686447218,,
560823, ,17.46131835,TOWN OF GARNER,GARNER,MITIGATION, , , ,SWIFT CREEK,,760615.027316227,3552.66478039857,,
560824,West Lake Schools,61.59923255,WAKE COUNTY,CARY,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,799,,,2683262.56978054,7596.69437543673,,
560825,Rand Road Elementary,27.05343719,WAKE COUNTY,GARNER,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, , ,,,1175063.69942816,5249.44032659752,,2018-06-25T18:22:24.000Z
560826,Holly Springs Elementary,19.29141435,WAKE COUNTY BOARD OF EDUCATION,HOLLY SPRINGS,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,095,,,840334.009096715,3670.78553781933,,
560827,Holly Ridge Middle & Elementary,35.50851836,WAKE COUNTY BOARD OF EDUCATION,HOLLY SPRINGS,SCHOOL,WAKE COUNTY BOARD OF EDUCATION, ,090,,,1546751.0595636,5402.73988806955,,
560828,Parrish Womble Park,43.40050759,TOWN OF HOLLY SPRINGS,HOLLY SPRINGS,PARK, , , ,,,1890530.61609151,5677.90841716556,,
560829,,0.44497563,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,19383.1382411446,699.905811854281,,
560830,,0.75757493,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,32999.9638493866,935.248697376855,,
560831,,0.4056874,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,17671.7430535134,749.481079358154,,
560832,,0.48590833,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,21166.1669731912,849.752913220668,,
560833,Swift Creek Greenway,9.0371437,TOWN OF CARY,CARY,GREENWAY,,,,,,393657.996588806,4225.04105710003,,
560834,,0.20229665,RIGHT OF WAY,RALEIGH,OPEN SPACE,,,,,,8812.04194446235,387.599261184896,,
560835,,0.35850423,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,15616.4444099606,527.520526812119,,
560836,,0.37888134,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,16504.0711166246,600.384685950189,,
560837,,21.2588332,STATE OF NORTH CAROLINA,CARY,OPEN SPACE,,,,,,926034.774093431,3926.87172855654,,
560838,,30.4401637,STATE OF NORTH CAROLINA,CARY,OPEN SPACE,,,,RICHLAND CREEK,,1325973.53097045,6772.47918413436,,
560839,,0.02198881,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,957.832688253223,135.914420747917,,
560840,,0.04734487,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,2062.34233383258,185.351477253159,,
560841,,0.3789525,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,16507.170957765,548.646892172391,,
560842,Carolina Mudcats Stadium,46.44694712,TOWN OF ZEBULON,ZEBULON,,,,,,,2023229.01642246,5984.11439679517,,2019-06-27T15:17:56.000Z
560843,,4.98881625,CITY OF RALEIGH,RALEIGH,GREENWAY,,EASEMENT,,,,217312.835998378,3945.18650734965,,
560844,,3.41390721,CITY OF RALEIGH ,RALEIGH,GREENWAY,,EASEMENT,,HARE SNIPE CREEK,,148709.79801395,3986.61411387227,,
560845,,0.37914595,TOWN OF GARNER,GARNER,OPEN SPACE,,,,,,16227.7609373185,514.662590880444,,
560846,,0.46970368,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,20460.292361127,727.477583773373,,
560847,,1.14302665,STATE OF NORTH CAROLINA,RALEIGH,OPEN SPACE,,,,,,49790.2407072563,1062.69440136135,,
560848,,0.07257852,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,3161.52016836073,287.244348067891,,
560849,New Light Creek Mitigation Plan,20.78643111,NC DEPARTMENT OF TRANSPORTATION,WAKE COUNTY,MITIGATION,,,,NEW LIGHT CREEK,,905456.939121944,5105.09873786078,,
560850,,1.47872791,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,64413.3876020504,2284.54198027347,,
560851,Jordan Lake,426.4946528,UNITED STATES OF AMERICA,WAKE COUNTY,GREENWAY,US ARMY CORPS OF ENGINEERS, , ,,,18578107.6227308,34420.0316215903,,
560852,,0.16436771,TOWN OF GARNER,GARNER,OPEN SPACE,,,,,,7159.87853816601,669.175888433932,,
560853,,3.59387707,TOWN OF ROLESVILLE,ROLESVILLE,,,,,,,156549.285090994,2339.3995721807,,2019-06-27T15:18:10.000Z
560854,,1.33038569,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,57951.6007179278,1820.2034574365,,
560855,,0.20952086,TOWN OF CARY,CARY,GREENWAY,,,,,,9126.72856259935,608.275256932411,,
560856,,16.69757927,JT HOBBY & SONS INC ETAL,MORRISVILLE,GREENWAY,,,,CRABTREE CREEK,,727346.553200734,7723.21199521899,,
560857,Future Park,24.13133661,TOWN OF CARY,CARY,PARK,,Planned Park,,SPEIGHT BRANCH,,1051161.02292274,6667.96602856799,,
560858,Buck Jones,2.33487684,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,101707.234936927,1799.61721899566,,
560859,,0.18358347,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,7996.89607448399,445.54947241592,,
560860,,0.19822094,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,8634.50424904302,395.648013579794,,
560861,,1.24187786,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,54096.1996247864,966.604275811347,,
560862,,1.48918502,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,64868.8996693892,1035.09577558813,,
560863,,2.78083436,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,121133.144677863,1554.25049924949,,
560864,,2.49253243,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,108574.712835072,1479.10540657345,,
560865,,2.73738925,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,119240.675895216,1945.11087631964,,
560866,,1.69190829,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,73699.5252669427,1305.51997333298,,
560867,,2.93023226,CITY OF RALEIGH,GARNER,OPEN SPACE,,,,STEEP HILL CREEK,,127640.917210286,1747.87591808326,,
560868,FEMA HMGP Phase 1-5,1.23350089,CITY OF RALEIGH,RALEIGH,PARK,,,,,,53731.2989715586,1027.84897027658,,
560869,Tucker House,0.67200215,CITY OF RALEIGH,RALEIGH,PARK,,,,,,29272.4136055913,697.530945981954,,
560870,OS-052,5.43665956,WAKE COUNTY,WAKE COUNTY,GREENWAY,,EASEMENT,,HOMINY CREEK,OS-052,236820.904872893,2499.4358965926,,
560871,,0.54749011,"PRICE, RACHEL B",WAKE COUNTY,OPEN SPACE,,,,,,23848.6693660472,696.506998160387,,
560872,,0.767169,TOWN OF GARNER,RALEIGH,OPEN SPACE,,,,,,33417.8218870893,1001.52390888346,,
560873,OS-081,168.93642784,WAKE COUNTY,WAKE COUNTY,OPEN SPACE,,FEE SIMPLE,960,MARKS CREEK,OS-081,7351031.07699002,18623.4180229325,,
560874,,4.01456295,CITY OF RALEIGH,RALEIGH,OPEN SPACE,,,,,,174874.362050526,4427.84005275051,,
560875,Greenway,1.22022225, TOWN OF APEX,APEX,GREENWAY,,,,,,53148.3710053789,1472.7641243003,,
560876,,0.27875943,TOWN OF APEX,APEX,GREENWAY,,,,,,12148.7666651653,1404.8070268015,,
560877,,0.31323573,WAKE COUNTY,RALEIGH,OPEN SPACE,,,,,,13644.5482911532,692.741953552763,,
560878,Sanford Creek Greenway,51.7470777,TOWN OF WAKE FOREST,WAKE FOREST,GREENWAY,,,,SANFORD CREEK,,2254110.4430097,12987.0717984799,,
560879,,186.78790681,BRANDYWINE LLC,RALEIGH,GREENWAY, ,EASEMENT,,NEUSE RIVER,,8136475.86718895,43207.4832636738,,
