OBJECTID,SHAPELEN,TRAIL_NAME,CORRIDOR_NAME,OWNER,OWNER2,TRAIL_STATUS,TRAIL_CONDITION,TRAIL_SURFACE,TRAIL_CLASS,LENGTH,WIDTH,SLOPE,SUBSEGMENT_NAME,STREET,OPEN_DATE,MAINTAIN_DATE,EMERGENCY,LIGHTING,ACCESSIBILITY_STATUS,PUBLIC_ACCESS,ATV,BIKE,DOG,HIKE,PACK,WCRAFTMTR,WCRAFTNMTR,COMMENTS,SEG_LENGTH
142,960.872763783861,Connecting Trail,Connecting Trail,Fuquay-Varina,,EXISTING,,NATIVE MATERIAL,,0.18198348,,,,,,,,,NOT EVALUATED,,,,,,,,,,960.87276381
146,6118.60197993742,East Fork Mine Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,1.15898529,10,,,,,,,,ACCESSIBLE,,,,,,,,,,6119.44232624
147,101.204061067031,Walnut Creek Trail,,City of Raleigh,,EXISTING,,,,0.01916744,12,,,,,,,,ACCESSIBLE,,,,,,,,,,101.20406106
149,71.5457914719919,Mine Creek Trail,,City of Raleigh,,EXISTING,,,,0.01355034,10,,,,,,,,ACCESSIBLE,,,,,,,,,,71.54579147
152,24.7910182652842,Neuse River Trail,,City of Raleigh,,EXISTING,,,,0.004698,,,,,,,,,ACCESSIBLE,,,,,,,,,,24.80544151
153,2280.14209106504,Abbotts Creek Trail,,City of Raleigh,,EXISTING,,CONCRETE,,0.43184509,5,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,2280.14209107
155,178.93904157809,Walnut Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.03388997,11,,,,,,,,ACCESSIBLE,,,,,,,,,,178.93904158
162,3259.68158298471,Honeycutt Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.61746004,10,,,,,,,,ACCESSIBLE,,,,,,,,,,3260.18899815
163,11395.7487316675,House Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,2.15846104,10,,,,,,,,ACCESSIBLE,,,,,,,,,,11396.67431418
168,4145.92406939641,Honeycutt Creek Trail,,City of Raleigh,,EXISTING,,,,0.78545359,6,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,4147.19496157
156,3782.73266594837,Honeycutt Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.71667415,9,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,3784.03949314
158,741.610276205943,Walnut Creek Trail,,City of Raleigh,,EXISTING,,,,0.14045649,11,,,,,,,,ACCESSIBLE,,,,,,,,,,741.61027619
160,57.3775860566218,Wakefield Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.01086697,5,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,57.37758606
104,879.546109832512,Laurel Lane,Laurel Lane,Fuquay-Varina,,EXISTING,,NATIVE MATERIAL,,0.1665807,,,,,,,,,NOT EVALUATED,,,,,,,,,,879.54610983
106,5728.59916995168,Depot Trail,Depot Trail,Fuquay-Varina,,EXISTING,,,,1.08496196,,,,,,,,,NOT EVALUATED,,,,,,,,,,5728.59916996
107,70.485670907233,Reedy Creek Trail,,City of Raleigh,,EXISTING,,,,0.01334956,10,,,,,,,,ACCESSIBLE,,,,,,,,,,70.48567091
108,21.682617811437,Snelling Branch Trail,,City of Raleigh,,EXISTING,,,,0.00410656,6,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,21.6826178
109,384.876136897322,Beaver Dam Trail,,City of Raleigh,,EXISTING,,,,0.07289321,6,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,384.87613691
112,2275.04272401636,House Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.43093198,9,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,2275.32084028
114,315.983936692812,Honeycutt Creek Trail,,City of Raleigh,,EXISTING,,CONCRETE,,0.05984544,5,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,315.98393668
116,509.073404683349,House Creek Trail,,City of Raleigh,,EXISTING,,CONCRETE,,0.09641542,5,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,509.07340468
118,922.144382459845,Neuse River Trail,,City of Raleigh,,EXISTING,,,,0.17464856,11,,,,,,,,ACCESSIBLE,,,,,,,,,,922.14438244
120,42.619148006372,Walnut Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.00807181,4,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,42.619148
121,19869.449953128,Walnut Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,3.7631534,8,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,19869.44995314
123,812.794252354105,Beaver Dam Trail,,City of Raleigh,,EXISTING,,,,0.15393831,8,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,812.79425236
124,57.5774350275841,House Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.01090482,5,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,57.57743503
126,787.073909403057,Reedy Creek Trail,,City of Raleigh,,EXISTING,,,,0.14906703,12,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,787.07390941
132,232.181137797238,Rocky Branch Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.0439737,7,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,232.1811378
133,53.6092128398828,Gardner Street Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.01015326,12,,,,,,,,ACCESSIBLE,,,,,,,,,,53.60921284
135,32.5322833420859,Beaver Dam Trail,,City of Raleigh,,EXISTING,,IMPORTED COMPACTED MATERIAL,,0.00616142,4,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,32.53228335
203,52.6696303028194,Beaver Dam Trail,,City of Raleigh,,EXISTING,,,,0.00997531,5,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,52.6696303
204,48.9173609211212,Gardner Street Trail,,City of Raleigh,,EXISTING,,,,0.00926465,4,,,,,,,,ACCESSIBLE,,,,,,,,,,48.91736092
205,586.163969709277,Crabtree Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.1110159,5,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,586.16396971
207,726.00786777818,House Creek Trail,,City of Raleigh,,EXISTING,,CONCRETE,,0.13750149,10,,,,,,,,ACCESSIBLE,,,,,,,,,,726.00786777
210,4602.0719257651,Rocky Branch Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.87160942,10,,,,,,,,ACCESSIBLE,,,,,,,,,,4602.0977383
211,1184.15018572643,Abbotts Creek Trail,,City of Raleigh,,EXISTING,,,,0.22427087,10,,,,,,,,ACCESSIBLE,,,,,,,,,,1184.15018573
212,2578.2579032789,Rocky Branch Trail Extension,,City of Raleigh,,EXISTING,,ASPHALT,,0.48830642,10,,,,,,,,ACCESSIBLE,,,,,,,,,,2578.25790329
216,136.993223772476,Walnut Creek Trail,,City of Raleigh,,EXISTING,,CONCRETE,,0.02594569,12,,,,,,,,ACCESSIBLE,,,,,,,,,,136.99322377
223,676.717594368238,Walnut Creek Trail,,City of Raleigh,,EXISTING,,,,0.12816621,14,,,,,,,,ACCESSIBLE,,,,,,,,,,676.71759438
224,30.9792474076376,Baileywick Trail,,City of Raleigh,,EXISTING,,,,0.00586728,10,,,,,,,,ACCESSIBLE,,,,,,,,,,30.97924742
227,563.010075873415,Hummingbird Trail,Hummingbird Trail,Fuquay-Varina,,EXISTING,,NATIVE MATERIAL,,0.1066307,,,,,,,,,NOT EVALUATED,,,,,,,,,,563.01007586
228,209.778814338162,Honeycutt Creek Trail,,City of Raleigh,,EXISTING,,ASPHALT,,0.03973084,5,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,209.77881433
236,279.996109136137,Mine Creek Trail,,City of Raleigh,,EXISTING,,,,0.05302957,8,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,279.99610914
239,1220.83453099428,Walnut Creek Trail,,City of Raleigh,,EXISTING,,CONCRETE,,0.23122596,8,,,,,,,,NOT ACCESSIBLE,,,,,,,,,,1220.87304615
242,7427.95307976386,Simms Branch Trail,,City of Raleigh,,EXISTING,,ASPHALT,,1.4068093,10,,,,,,,,ACCESSIBLE,,,,,,,,,,7427.95307977
